stage,Endothelial_cell,Erythroid_progenitor_cell,Fibroblast,Hepatocyte,Ionocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Radial_glia
72hpf,0,0,0,0,0,0,0,0,2.14
21Day,0,1.34,0,0,0,1.34,4.02,1.34,1.34
3Month,0,0,0.32,0.32,0,0,0,0,0
22Month,0.55,0,0,1.64,0.55,0,0,0,0
