stage,Epithelial_cell,Granulocyte,Hepatocyte,Ionocyte,Keratinocyte,Mesenchymal_cell,Neural_progenitor_cell,Oocyte,Primordial_germ_cell
24hpf,4.09,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.07,3.21,0,1.07,0,0
21Day,2.68,0,0,0,0,0,0,0,0
3Month,0.64,0.32,0,0,0,0,0,0,0
22Month,0,0,2.73,0,0,1.09,0,2.19,2.73
