stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,93.99,0,8.17,0,0,0,0,0,0,0,0,0,0,4.09,4.09,0,510.8,0,0,0,0,0,138.94,0,0,12.26,0,0,0,0,0,0,0,0,0
72hpf,5.35,1.07,4.28,1.07,0,0,0,0,0,0,0,0,0,6.42,9.63,0,254.61,0,0,5.35,0,16.05,18.19,0,0,304.89,0,0,1.07,0,0,2.14,0,0,0
21Day,29.45,1.34,12.05,21.42,0,1.34,0,0,0,2.68,1.34,4.02,2.68,1.34,8.03,2.68,858,1.34,0,10.71,0,21.42,41.49,1.34,0,386.84,33.46,0,2.68,5.35,10.71,4.02,0,0,0
3Month,1.6,3.2,5.12,0,0.96,0,0.32,13.76,0,8.64,7.36,0,1.92,0,1.6,2.56,218.21,24.32,0,2.24,0.64,0,0.32,0.64,0,4.48,1.6,0.64,0,0,0,0.96,1.92,0.32,0.32
22Month,0.55,2.73,9.84,0,4.37,0,0.55,7.11,1.09,39.91,9.84,0,2.19,1.64,2.19,3.28,447.71,5.47,1.64,8.2,0,0,1.09,0,0.55,1.64,0.55,1.09,0.55,0.55,0,0.55,0.55,0,1.09
