stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,12.26,44.95,0,0,4.09,0,0,0,0,0,0,0
72hpf,4.28,1.07,5.35,2.14,0,0,0,0,0,0,1.07,0,0,2.14,0,4.28,0,0,0,304.89,12.84,0,1.07,6.42,0,0,1.07,0,0,0,0
21Day,0,0,0,1.34,8.03,1.34,0,0,0,0,1.34,0,0,2.68,0,5.35,0,2.68,0,192.75,4.02,1.34,2.68,1.34,2.68,0,5.35,2.68,0,0,0
3Month,0,0.32,1.28,0,0,0,0.64,0.96,2.24,0.64,0.32,1.6,0.32,0.64,0.64,2.24,0.32,0,0.32,2.56,0,0,0.64,0,0,29.76,0.32,0,0.32,4.16,0.32
22Month,0,0.55,1.09,0,0,0,0,1.64,19.13,0,0.55,1.64,0,0.55,2.19,2.19,0,0,0,4.37,0,0,3.28,0,0,3.83,2.73,0,0,0.55,0
