stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.43,4.09,0,0,0,0,40.86,0,0,0,0,0,0,0,0,0,0,0
72hpf,2.14,1.07,0,1.07,8.56,3.21,0,0,0,0,0,0,0,0,2.14,5.35,0,8.56,0,0,1.07,55.63,13.91,0,0,0,5.35,0,0,6.42,1.07,0,0,0
21Day,2.68,2.68,0,16.06,9.37,1.34,0,0,0,0,0,0,0,0,8.03,10.71,0,13.39,0,1.34,6.69,97.71,5.35,0,1.34,0,10.71,2.68,0,2.68,1.34,4.02,1.34,0
3Month,0,3.84,0.32,9.6,9.28,0,0.32,0.32,3.52,5.76,0.32,10.56,3.84,3.2,0.64,3.84,3.2,30.4,26.24,0,0.32,10.88,0.64,1.92,0.64,0,0.64,0,1.92,0,0,0,0.32,0.32
22Month,0,3.28,0.55,19.13,3.28,0,0.55,0,4.92,27.88,3.83,72.71,3.28,5.47,0.55,1.64,7.11,22.41,0.55,2.19,1.64,9.29,0,1.64,0.55,0.55,0,0,0.55,2.73,0,0,0,0
