stage,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0
72hpf,0,0,1.07,0,1.07,0,0,0,0,0,0,0,0,0,18.19,1.07,1.07,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.03,0,1.34,0,1.34,1.34,0,0
3Month,0,0.32,5.44,0.32,0.32,0,3.2,0.64,0,1.92,0.32,1.28,0,1.28,0.32,0,2.88,0.64,11.2,0,2.88,0.64
22Month,1.64,0.55,6.01,1.64,2.19,0.55,20.77,0,1.64,2.73,0.55,0,0.55,1.64,0.55,0,3.83,0,14.76,0,0,1.64
