stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,8.17,0,0,0,0,40.86,0,0,0,0,0,0,0,0,0,0
72hpf,0,1.07,0,0,0,0,0,0,0,0,0,0,3.21,0,0,0,0,0,0,0,0,0,0
21Day,0,2.68,1.34,0,0,0,0,0,0,0,0,0,0,9.37,0,1.34,0,1.34,6.69,6.69,5.35,0,0
3Month,0.32,37.11,1.6,0,2.56,1.92,0.96,0.64,1.28,0,0.96,0.32,0,0.32,0.96,0,2.88,18.24,0,0,0,0.64,0.96
22Month,0,25.15,1.09,1.64,8.75,0,0.55,0.55,0,0.55,0,0,0,0,0.55,0,3.28,24.6,2.19,0,0,0,0
