stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,4.09,0,0,0,0,4.09,0,4.09,0,0,0,0,0,0,0
72hpf,403.31,0,0,2.14,2.14,0,0,0,0,0,0,0,0,1.07,4.28,0,38.51,0,0,0,17.12,34.23,0,11.77,0,0,1.07,0,0,0,0
21Day,157.95,0,0,2.68,5.35,0,0,0,0,0,5.35,1.34,2.68,0,0,2.68,14.72,0,0,0,6.69,2.68,0,0,2.68,1.34,0,1.34,0,0,1.34
3Month,4.8,0.32,0,0.64,0,0,0,0.32,8.32,4.8,12.16,0.32,1.92,0,0.32,2.24,2.56,0,0.32,0.64,0,0.32,0,0,0,0.32,0,0,0.32,0.32,0.64
22Month,1.64,0.55,0.55,1.09,0,1.64,1.09,0,51.39,20.77,41.55,2.19,3.83,0,0,12.03,2.73,2.73,0.55,0.55,0,0,0.55,0,0,1.64,0,0,0.55,0,1.09
