stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Hepatocyte,Intestinal_bulb_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Radial_glia,Spermatocyte
24hpf,0,0,0,0,0,0,12.26,0,0,0
72hpf,3.21,0,1.07,0,0,1.07,0,0,1.07,0
21Day,2.68,1.34,0,0,0,0,0,0,1.34,0
3Month,0,0,0,0,0.32,0,0,0.32,0,0.64
22Month,0,0,0,1.09,0,0,0,2.19,0,0
