stage,Epithelial_cell,Ionocyte,Keratinocyte,Macrophage,Nephron_cell,Neural_progenitor_cell,Osteoblast
24hpf,0,0,0,0,0,4.09,0
72hpf,0,1.07,1.07,0,1.07,1.07,1.07
21Day,1.34,0,0,1.34,0,0,0
