stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,32.69,0,0,0,0,0,0,0,0,0,0,12.26,4.09,4.09,81.73,0,0,0,28.6,870.4,4.09,0,12.26,0,0,0,0,0,4.09,0,0
72hpf,25.67,6.42,0,13.91,7.49,9.63,0,0,0,0,0,0,1.07,0,7.49,22.47,4.28,113.4,0,2.14,6.42,1738.41,281.36,1.07,0,67.4,0,0,39.58,0,0,11.77,0,0
21Day,25.43,9.37,1.34,28.11,2.68,17.4,0,4.02,1.34,4.02,2.68,4.02,5.35,8.03,0,9.37,5.35,155.27,0,0,13.39,435.02,84.33,4.02,2.68,24.09,21.42,2.68,25.43,4.02,5.35,4.02,0,5.35
3Month,0,5.44,0,18.24,0,0,0.96,0,0.96,1.28,3.2,0.64,0,3.84,0,14.4,1.28,3.2,0.32,0.32,0.96,0.32,0,0.32,0,0,0,0,0,0,0,0.32,0.64,1.92
22Month,0,4.37,0,2.19,0,0,0,0,0,0,0,0,0,0.55,0,0,1.09,2.73,0,0,0,0,0,0.55,0,0,0,0,0,0,0,0,0,0
