stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,16.35,4.09,0,69.47,0,4.09,0,0,0,0,0,0,4.09,0,0,0,0,12.26,20.43,49.04,16.35,0,0,0,53.12,147.11,0,0,0,8.17,0,0,0,0,0,4.09,0,0,0
72hpf,2.14,2.14,0,9.63,3.21,8.56,0,0,0,0,0,1.07,0,0,0,0,0,3.21,39.58,7.49,14.98,2.14,0,1.07,68.47,23.54,1.07,0,0,9.63,0,0,2.14,2.14,1.07,5.35,0,0,0
21Day,2.68,1.34,2.68,44.17,2.68,10.71,0,5.35,0,0,1.34,0,0,0,0,6.69,2.68,9.37,17.4,28.11,25.43,0,1.34,0,26.77,21.42,0,4.02,0,5.35,4.02,0,2.68,1.34,4.02,8.03,0,0,10.71
3Month,0,1.92,1.28,36.15,0.32,0,0.32,0.64,0.32,5.44,8.64,0.32,0,31.36,10.56,1.6,13.12,10.24,8.64,22.08,5.76,0,2.56,0.64,2.24,0,0.96,1.6,0,0.32,1.92,9.92,0.64,0,0,0,3.2,8.96,6.72
22Month,1.09,16.95,10.39,48.11,0,0,2.19,1.09,1.09,5.47,30.61,15.31,0,221.4,14.76,2.73,41,2.73,12.03,23.51,32.8,14.21,8.75,0.55,1.09,0,3.28,4.92,21.32,1.09,2.19,4.92,0.55,2.19,0,0,1.09,0,12.57
