stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,8.17,0,0,0,32.69,12.26,0,0,0,0,0,0,0,0
72hpf,1.07,1.07,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,36.37,4.28,0,0,0,0,1.07,2.14,0,0
21Day,0,0,5.35,0,2.68,4.02,0,1.34,0,0,0,0,0,6.69,8.03,1.34,0,6.69,0,18.74,4.02,0,0,1.34,0,0,0,0,2.68
3Month,0.32,0,3.2,0.32,0,0,0.64,0.64,3.52,0.64,0,0.64,1.28,0.96,2.24,0.32,0.64,49.59,1.28,0.96,0,0.32,0,0,3.2,0,0,0.32,7.36
22Month,0,1.09,0.55,0,0,0,0.55,0,8.2,0,1.09,1.09,0,0,1.64,1.64,0,29.52,0,1.09,0,0,0.55,0,0.55,0,0,0,14.21
