stage,Epithelial_cell,Goblet_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Nephron_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,1.07,0,0
3Month,0.32,0.32,0.96,0.32,0.64,0.64,0.64,0,9.28,0.64
22Month,0,0,0,0,0,0,1.64,0,0,0
