stage,Epithelial_cell,Goblet_cell,Hepatocyte,Intestinal_bulb_cell,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_
3Month,2.88,0.32,0.32,0.32,0.32,0.32
22Month,0,0,1.09,0,0.55,0
