stage,Epithelial_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell
24hpf,0,0,0,0,0,0,4.09,4.09,4.09
72hpf,0,0,0,0,1.07,0,0,2.14,0
21Day,0,0,0,0,0,0,1.34,0,0
3Month,0.32,0.32,0,0.96,0,0.32,0,0,0
22Month,0,6.56,0.55,0,0,0,0.55,0,0
