stage,Epithelial_cell,Epithelial_cell__Brain_,Hepatocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oocyte,Osteoblast,Pancreatic_cell
24hpf,0,0,0,0,0,4.09,0,8.17,0,0,0
72hpf,0,1.07,0,0,0,0,1.07,0,0,0,1.07
21Day,4.02,0,0,2.68,0,4.02,0,0,0,2.68,0
22Month,0.55,0,6.56,0,0.55,0,1.09,0,1.64,0,0
