stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,16.35,85.81,0,0,0,40.86,69.47,0,12.26,0,0,0,0,0,0,0,0
72hpf,36.37,2.14,0,3.21,2.14,0,0,0,0,0,0,0,0,0,3.21,5.35,240.7,0,27.81,0,133.72,14.98,10.7,148.7,0,0,2.14,0,0,0,0,0
21Day,22.76,1.34,2.68,9.37,8.03,0,0,0,0,1.34,9.37,0,0,0,4.02,13.39,279.75,0,148.58,0,88.34,12.05,22.76,53.54,8.03,0,1.34,1.34,2.68,0,0,1.34
3Month,0,0.32,0,2.56,0,0.32,0,0.96,0,3.2,4.16,0,0.32,0.64,0.96,2.88,52.47,14.4,1.28,0.64,0.32,0,3.52,2.88,0,0.32,0,0,0,0.64,0.32,0
22Month,0,2.19,0,2.19,0,0,0.55,1.64,0.55,10.39,1.09,0.55,0.55,0,0,23.51,115.89,2.19,0,0,1.64,0,5.47,1.09,0,0,0,0,0,1.09,0,1.09
