stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,53.12,4.09,0,20.43,0,0,0,0,0,0,0,0,0,0,0,44.95,12.26,0,4.09,0,0,0,0,4.09,159.37,4.09,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,3.21,0,11.77,25.67,1.07,0,0,0,0,0,0,0,0,0,12.84,33.16,0,2.14,0,0,0,2.14,49.21,46,0,1.07,0,18.19,0,0,1.07,44.93,0,4.28,0,0,0
21Day,4.02,0,0,69.6,13.39,2.68,0,0,0,0,0,0,0,0,0,10.71,32.12,0,14.72,0,0,0,0,9.37,13.39,0,0,0,2.68,1.34,0,1.34,12.05,1.34,0,0,0,0
3Month,0.32,2.24,0.96,149.1,4.16,0,0.32,0.32,1.92,3.2,0,23.04,4.48,0.32,7.04,24.64,9.92,6.72,32.95,1.92,0.32,1.6,2.56,18.56,0.96,2.56,0.96,0,0.32,1.92,0.32,39.35,1.6,0,1.28,2.24,910.58,4.48
22Month,0.55,2.73,1.09,55.76,1.09,0,0,0,0.55,2.73,2.73,41,3.28,0,8.75,4.37,1.09,4.37,22.41,0.55,0.55,1.09,0,4.37,1.64,1.64,0,1.09,1.64,0,0,33.35,1.09,0,0,0,2.73,0.55
