stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythroid_progenitor_cell,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte
24hpf,4.09,8.17,28.6,0,4.09,0,0,0,0,12.26,12.26,73.56,0,20.43,441.33,16.35,0,0,0,0,4.09,0,0
72hpf,1.07,2.14,1.07,0,0,0,0,0,2.14,2.14,0,6.42,0,12.84,26.74,3.21,1.07,0,0,0,1.07,0,0
21Day,0,0,1.34,1.34,0,0,0,0,0,1.34,0,5.35,0,0,1.34,2.68,0,0,2.68,1.34,0,0,0
3Month,0.32,0,0.96,0,0,0.64,0,0.32,0.64,0,0.32,0.32,0.32,0,0,0,0,1.28,0,0,0,0.32,3.2
22Month,0,0,1.09,0,0,3.28,0.55,1.64,0,0,0,0,0,0,0,0,0,5.47,0,0,0,0,0
