stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,28.6,16.35,0,0,0,28.6,110.33,4.09,0,8.17,0,0,0,0,0,0,0,0,0
72hpf,13.91,4.28,0,9.63,14.98,16.05,0,1.07,0,0,0,0,0,0,2.14,0,1.07,28.88,4.28,62.05,0,2.14,8.56,1814.37,68.47,14.98,50.28,72.75,0,0,34.23,2.14,2.14,4.28,0,0,0
21Day,6.69,5.35,2.68,20.08,5.35,20.08,0,5.35,0,0,2.68,0,0,0,4.02,9.37,1.34,9.37,2.68,129.84,0,0,25.43,882.09,60.23,14.72,12.05,84.33,21.42,9.37,12.05,13.39,37.48,44.17,1.34,0,4.02
3Month,0,3.2,0,7.68,0,0,0,0.32,0.32,0,3.52,0,8.32,2.88,0,3.84,0.96,1.92,0.96,29.44,12.16,0,48.63,11.52,0.64,24,1.28,3.52,0.64,18.24,0.32,0.32,0,0.32,1.92,100.46,2.24
22Month,0.55,2.19,0,10.39,0.55,0,0.55,0.55,0,1.09,9.84,4.92,54.67,3.28,1.09,3.83,1.09,1.09,1.64,42.64,1.64,0.55,15.31,21.87,0.55,38.27,4.37,2.73,0,39.36,1.09,7.65,0,0,0.55,0,0.55
