stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0
72hpf,0,0,11.77,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,1.07,1.07,0,0,0,0,0,0,0,0,0,0
21Day,0,1.34,1.34,0,0,0,0,0,0,0,0,0,1.34,0,1.34,1.34,0,0,0,1.34,0,0,0,0,0,0,1.34,0,0,0,0
3Month,0.64,8.64,579.11,1.28,1.28,0.32,11.2,3.84,0,21.76,4.48,47.67,20.8,4.48,19.2,7.36,0.64,0,76.15,46.39,0.64,0,4.16,1.92,0.32,3.2,5.44,0.96,1.6,0.96,4.8
22Month,1.09,21.87,247.63,0,1.64,0,29.52,6.01,1.09,45.37,1.64,142.13,1.09,1.09,6.56,1.64,0,1.09,57.4,5.47,0.55,0,6.56,0.55,1.09,1.09,4.37,0,0,0,0.55
