stage,Endothelial_cell,Enterocyte,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Muscle_cell,Neural_cell,Osteoblast,Primordial_germ_cell
24hpf,0,0,0,0,0,4.09,0,0,0,0,0
72hpf,0,0,1.07,0,0,0,1.07,0,1.07,1.07,0
21Day,1.34,1.34,10.71,0,0,8.03,0,0,0,0,0
3Month,0,0,0.64,0.32,0.32,0,0.96,0.32,0,0,0.32
