stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.28,0,0,0,0,0,1.07,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.35,0,0,1.34,0,0,0,0,0
3Month,0,0.32,0.32,8,0.32,1.28,0.32,0,2.88,0,0.32,1.6,0.32,0.64,0.32,1.6,0.32,0.32,0,0,0.32,0.32,0,0.64,1.6,0,0.64,0.96
22Month,0.55,0.55,1.64,44.28,1.09,0.55,4.92,2.73,41,1.64,0,3.28,0,12.57,3.28,7.11,0,1.09,0.55,0.55,1.09,1.09,0.55,0,5.47,0,0.55,2.19
