stage,Epithelial_cell,Hepatocyte,Macrophage,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell
24hpf,0,0,4.09,12.26,0,0
72hpf,1.07,0,0,0,1.07,0
22Month,0,2.73,0,0,0,0.55
