stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,0,20.43,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,0,1.07,0,0,0,0,0,0,0,0,8.56,3.21,0,0,0,62.05,1.07,0,0,1.07,0,0,1.07,0,0
21Day,0,0,1.34,0,8.03,0,0,0,0,0,0,0,0,6.69,0,0,0,4.02,2.68,1.34,1.34,0,0,1.34,0,1.34,0,0
3Month,0,0,0.96,0.96,0,0,0,0,8,0.64,0.32,0,0.64,39.99,0.96,0.32,0,0.64,0,0,8.96,0,0.32,0,0.64,0,0,3.2
22Month,0,1.09,0.55,2.19,0,0.55,1.09,6.01,104.41,0.55,0.55,1.09,1.09,61.77,1.64,0,3.28,0,1.09,0,9.84,0.55,0,0,0.55,0,0.55,1.64
