stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,37.44,0,0,0,0,0,0,1.07,0,6.42,0,0,0,0,1.07,1.07,0,0,0,0,0
21Day,1.34,0,1.34,34.8,1.34,0,0,0,0,0,5.35,1.34,0,0,0,2.68,0,2.68,0,6.69,0,0,0,1.34
3Month,0,0.32,1.28,3.84,0,0.32,0.32,0,1.28,0.32,0.32,0.96,0.32,0,0.32,0,0,0.32,0,0,1.6,0.32,0.96,9.92
22Month,0,0,0.55,1.64,0,0,0.55,2.19,6.56,0.55,0,0,0.55,1.09,1.09,0.55,0.55,0,0,0,1.64,0,0,4.37
