stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Hatching_gland,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,0,4.09,4.09,0,0,4.09,0,0,0,0,4.09,4.09,44.95,0,0,4.09,261.53,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,2.14,0,2.14,0,0,0,0,0,3.21,1.07,0,10.7,0,0,13.91,12.84,0,1.07,7.49,1.07,0,0,0,0,2.14,0
21Day,2.68,1.34,1.34,4.02,1.34,2.68,4.02,0,0,5.35,0,0,0,0,4.02,0,0,1.34,6.69,0,0,0,1.34,0,1.34,1.34,1.34,0,0
3Month,0,0,0.32,2.88,0,0,0,0,0.96,0,0.32,0,0.64,0.32,0.32,0,0.32,0,0,0.32,0,0,0,0.64,0,0,0,0,0.64
22Month,0,0,0,0,0,0,0,0,0.55,0,0,0,0,0,0,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0
