stage,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,2.14,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0
21Day,0,0,4.02,0,0,2.68,2.68,0,0,14.72,0,0,0,0,0,0,0,0,0,0,0,0,1.34
3Month,1.28,0,14.4,0,1.92,12.8,0,0.96,1.6,14.72,0.32,0,0.64,0.64,0,0.32,0,0.32,0,0,0.32,0.64,0.96
22Month,0.55,0.55,20.77,0.55,6.01,2.73,1.09,1.64,0,9.29,0,0.55,0,0,0.55,0,0,0,1.09,0.55,0,0,0.55
