stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Fibroblast,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,65.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,6.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,5.35,0,0,0,0,0,0,0,0,1.34,0,0,0,0,0
3Month,0.32,0.32,0.32,5.44,0.32,14.08,3.84,0.64,1.92,0.64,1.28,155.18,2.88,0.32,0.32,0.32,0.32,0.96,0,0.32,0.64,2.24,0.32,0.32,0.64,8
22Month,0,0.55,0,0,0,1.64,4.37,0,1.09,0,0,119.17,1.09,0,0,0,0,0,1.64,0,0.55,0,0,0,0,0.55
