stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,24.52,0,0,16.35,0,4.09,0,0,0,4.09,0,0,0,0,0,12.26,0,0,0,0,0,4.09,4.09,179.8,0,0,0,4.09,0,0,0,4.09,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.49,0,1.07,0,0,0,5.35,73.82,4.28,0,0,0,1.07,0,0,0,0,0,0,0
21Day,0,0,0,6.69,1.34,0,0,0,0,0,0,0,0,0,0,1.34,0,1.34,0,0,0,0,20.08,4.02,1.34,0,0,1.34,0,0,2.68,0,0,0,0
3Month,0.32,0.32,0.64,7.68,0,0.32,0.32,0.64,0,0,18.56,2.56,0.32,2.56,1.92,2.56,2.24,4.48,1.28,0,0.32,12.48,0.64,0,0.96,0,0,0.64,0,16,1.28,0.64,1.6,2.56,1.6
22Month,0,4.92,0.55,9.29,0,0,1.09,7.65,30.07,0,98.94,8.75,1.64,12.57,1.09,3.83,4.37,9.84,0,2.19,0.55,0.55,2.19,0,2.19,0.55,0.55,0,0.55,8.75,6.56,0,0.55,0,0.55
