stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,3.21,0,5.35,1.07,0,0,0,0,0,0,0,0,0,0,2.14,21.4,0,2.14,0,1.07,1.07,0,32.09,24.61,1.07,0,0,1.07,0,1.07,2.14,0,1.07,0,0,0
21Day,8.03,2.68,1.34,9.37,2.68,4.02,0,0,0,0,0,1.34,0,2.68,4.02,8.03,6.69,1.34,13.39,0,0,4.02,0,22.76,12.05,6.69,0,2.68,5.35,0,1.34,2.68,16.06,0,0,0,1.34
3Month,0.32,12.8,4.48,78.39,1.6,0,0.32,0.64,19.2,3.52,0,91.19,12.16,0.64,139.5,18.24,19.52,3.2,25.28,6.72,0,7.36,4.48,4.48,0.96,17.92,1.92,2.88,3.2,4.16,1.28,0,0,0.32,9.28,3.2,6.08
22Month,0,22.41,0,31.71,0.55,0,0,0,10.39,3.83,5.47,105.5,3.83,0.55,113.16,3.28,6.56,3.83,14.76,0,1.64,3.83,1.09,3.83,1.09,10.39,6.01,1.09,0,9.29,18.04,0.55,0,0.55,5.47,0,4.92
