stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,4.09,0,0,0,0,0,0,0,0,4.09,0,0,4.09,0,0,0,0,0,24.52,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,1.07,0,0,0,0,0,0,0,0,3.21,0,0,0,0,0,0,3.21,1.07,0,0,6.42,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,2.68,0,0,0,0,1.34,0,0,1.34,0,0,1.34,0,0,0,0,0
3Month,0,0,4.8,0,1.28,0.64,1.28,202.53,0.96,0.32,3.52,0.96,2.56,0.32,3.2,0.32,0,0.32,0.64,0,0,0.96,0,0,2.88,0.96,0.32,1.28,1.6
22Month,0,1.09,1.09,0,0,0,0.55,235.61,0.55,0,2.73,0,0.55,3.28,2.73,0,3.83,0,0,0,0,0,1.09,0,0,0.55,0,0,0.55
