stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,8.17,0,12.26,4.09,0,0,0,0,0,0,0,0,0,4.09,0,4.09,0,0,36.78,216.58,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,16.05,0,2.14,1.07,0,0,0,0,0,0,0,0,1.07,3.21,2.14,3.21,1.07,0,71.68,94.14,1.07,4.28,7.49,0,0,12.84,0,0,1.07,0,0,0
21Day,12.05,0,8.03,2.68,4.02,0,0,0,1.34,0,8.03,0,0,6.69,0,10.71,0,0,49.53,36.14,1.34,4.02,8.03,4.02,1.34,20.08,1.34,2.68,0,0,0,1.34
3Month,0,0.32,5.76,0.32,0,0.32,0,1.6,1.28,1.28,0,2.24,0.96,0.32,0.96,0,0,0.96,1.6,0.32,1.6,0.64,2.24,0.32,26.88,33.91,0,0,0,0.64,6.4,0.32
22Month,0,0,1.09,0,0,1.09,1.09,0.55,11.48,1.09,0.55,1.64,0,0.55,1.09,2.19,1.09,0,1.09,0.55,5.47,1.64,0,0,14.76,109.33,1.09,0,0,0.55,0,0.55
