stage,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Neural_cell,T_cell
24hpf,8.17,0,0,0,0,0,0,0,0,4.09,0,0,0
72hpf,2.14,0,0,0,0,0,0,0,0,20.33,0,1.07,0
21Day,0,0,0,0,0,0,0,0,0,28.11,0,0,0
3Month,0.64,0.32,0,0,0,1.92,0.32,0.32,0.32,0,0,0,0
22Month,0.55,0,1.09,1.09,0.55,8.75,0,0,1.09,0,1.64,0,0.55
