stage,Cardiomyocyte,Epithelial_cell,Hepatocyte,Keratinocyte,Macrophage,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell
24hpf,0,0,0,0,0,0,4.09,0,0,0,0
72hpf,2.14,1.07,0,0,0,48.14,2.14,0,0,1.07,0
21Day,0,2.68,0,1.34,0,21.42,1.34,1.34,1.34,0,0
3Month,0,0,0,0,0,0,0,0.64,0,0,0.32
22Month,0,0,1.09,0,0.55,0,0,0,0,0,0
