stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,T_cell
21Day,1.34,0,0,1.34,0,0,0,0,0,0,5.35,0,0,0,0,0,0,1.34,0,0,0,0,0,0,0,0,0
3Month,0,0,0,0,0,0,0.32,0,0.32,0,0.32,0.64,0,5.12,0,0,0,0,0,0,0,0,0.32,1.28,0,0,0
22Month,0,26.79,5.47,0,57.95,0.55,20.77,0.55,32.8,2.73,170.56,3.83,4.37,777.34,10.39,3.83,0.55,0.55,6.56,1.64,0.55,0.55,0.55,0,1.09,1.09,222.49
