stage,Epithelial_cell,Keratinocyte,Mesenchymal_cell,Muscle_cell,Neural_progenitor_cell,Osteoblast,Radial_glia
24hpf,0,0,12.26,0,8.17,0,0
72hpf,0,1.07,1.07,0,1.07,1.07,1.07
21Day,9.37,0,1.34,2.68,0,0,0
