stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,4.09,0,0,0,0,4.09,4.09,0,0,0,0,0,0,0,0
72hpf,2.14,1.07,0,0,3.21,0,0,0,0,0,0,0,0,1.07,0,0,4.28,0,0,0,0,1.07,3.21,0,0,3.21,0,0,0,0,0
21Day,6.69,0,0,4.02,0,0,0,0,0,0,0,0,0,1.34,0,2.68,2.68,0,0,1.34,2.68,2.68,2.68,0,0,0,0,0,0,0,9.37
3Month,1.92,0.32,1.6,1.92,0,0.32,9.92,6.4,0,3.84,5.12,0.32,3.2,49.59,0.64,2.24,80.31,3.2,0,0.96,44.15,0.96,0.64,0.32,3.52,0.32,24.96,0.32,1.28,9.28,46.71
22Month,0,1.09,0.55,3.83,0,1.09,9.29,7.11,0.55,9.84,2.19,0,1.64,13.12,0.55,1.64,63.96,0,0.55,0.55,2.19,0,0,0,1.09,0.55,13.12,0,0,0,23.51
