stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,16.35,0,0,0,0,0,4.09,0,0,0,0,0,4.09,8.17,16.35,0,0,0,0,8.17,228.84,0,0,4.09,0,0,0,0,8.17,0,0,0
72hpf,11.77,8.56,3.21,1.07,0,0,0,0,0,0,0,1.07,0,2.14,7.49,1.07,31.02,0,0,0,0,34.23,22.47,0,0,35.3,0,0,3.21,0,1.07,0,0,0
21Day,5.35,5.35,6.69,1.34,1.34,0,0,0,0,1.34,0,1.34,1.34,1.34,1.34,0,38.82,0,0,5.35,0,12.05,5.35,0,1.34,5.35,0,2.68,1.34,1.34,0,0,0,1.34
3Month,0,0.64,2.88,0,0.32,0,0.64,0,0,2.88,1.28,0.32,1.92,0,1.28,0.96,2.24,0,0,0.32,0.32,0,0.64,0,0.32,0,0.32,64.95,0,0,0,0.64,14.4,0.32
22Month,0,2.19,0.55,0,0,0.55,2.19,0.55,0,2.19,0,0,1.09,0,0.55,0,4.92,0.55,1.09,0,0,0,0,0.55,0.55,0,0,11.48,1.09,0,0,0,0,0
