stage,Epithelial_cell,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Nephron_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,T_cell
24hpf,8.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,0,0,0,0,0,0,2.14,0,0,0,0,1.07,0,0,0,0,1.07,0,0
21Day,1.34,0,0,0,0,0,0,2.68,1.34,5.35,0,1.34,0,0,0,0,1.34,0,0,0,0,0
3Month,9.28,0.32,0.32,0.32,0.96,0.64,0.96,5.44,0,3.84,0.32,2.56,0.32,0.96,0,0,0,0.64,0.32,0,0.32,0.32
22Month,0,0,0,0,0.55,0,0,0,0,0,0,0.55,0,0,0,0.55,0,0,0,0,0,0
