stage,Epithelial_cell,Immune_cell,Ionocyte,Keratinocyte,Neural_progenitor_cell
24hpf,0,0,4.09,0,0
72hpf,1.07,0,0,0,0
21Day,5.35,0,0,2.68,1.34
22Month,0.55,0.55,0,0,0
