stage,Epithelial_cell,Epithelial_cell__Brain_,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell
24hpf,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0
72hpf,1.07,0,0,0,0,0,1.07,0,0,0,0,0,3.21,0
21Day,0,1.34,0,1.34,0,0,0,0,0,0,1.34,1.34,0,0
3Month,0.64,0,0.32,1.28,0.32,0.64,0,0.32,0.32,0,0,0,0,0
22Month,0.55,0,0.55,4.37,0,2.73,0,0,0,0,0,0,0,1.09
