stage,Cardiomyocyte,Epithelial_cell,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Radial_glia
24hpf,0,4.09,4.09,0,0,0,0,0,0,0,4.09,28.6,0,0,0
72hpf,0,0,0,0,0,0,0,0,1.07,1.07,3.21,1.07,0,0,0
21Day,4.02,1.34,0,0,0,0,1.34,0,4.02,0,1.34,1.34,2.68,1.34,1.34
3Month,0,0.32,0,0,2.24,0.32,0.32,0,0,0,0,0,0,0,0
22Month,0,1.09,0,0.55,2.73,0,0.55,1.09,0.55,0,0,0,0,0,0
