stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,16.35,0,0,0,0,0,0,0,0,0,0,0,0,0,36.78,0,0,0,0,85.81,44.95,16.35,0,0,0,0,0,0,0,0,0,0,0
72hpf,29.95,3.21,0,14.98,10.7,38.51,0,1.07,0,1.07,0,0,0,0,9.63,26.74,1.07,43.86,0,2.14,2.14,0,2746.15,105.91,12.84,1.07,72.75,1.07,0,14.98,0,1.07,4.28,0,0,0
21Day,10.71,0,0,21.42,1.34,30.79,0,1.34,0,1.34,0,0,26.77,10.71,2.68,18.74,9.37,61.57,0,0,8.03,0,991.85,20.08,5.35,10.71,53.54,29.45,1.34,12.05,4.02,16.06,4.02,1.34,0,52.2
3Month,0,0,0.64,13.76,0.64,0,0.32,0.64,1.28,2.56,5.76,2.56,0.64,3.2,0.96,1.28,0.64,9.92,2.88,0,0,0.32,23.68,0.64,23.04,2.24,2.24,0.64,7.68,0.32,0,0,0.32,0.32,0.96,31.04
22Month,0,0,0.55,1.09,0,0,0.55,0,1.09,3.28,13.12,1.64,0,1.09,0,0,2.19,7.65,0.55,0,0.55,0,40.45,0.55,4.37,1.64,0.55,0,11.48,1.64,0,0,1.09,0.55,0,1.09
