stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,4.09,0,0,0,0,0,0,0,0,0,4.09,0,0,0,24.52,0,0,0,0,0,0,0,0,0,0
72hpf,0,2.14,4.28,3.21,0,0,0,0,0,1.07,1.07,0,6.42,0,1.07,181.86,8.56,2.14,1.07,8.56,0,0,3.21,1.07,0,1.07,0
21Day,2.68,0,5.35,1.34,0,0,0,1.34,2.68,0,4.02,1.34,5.35,0,0,104.41,6.69,0,0,1.34,4.02,0,6.69,0,1.34,1.34,0
3Month,0.32,0.96,1.92,0,0.96,0,3.2,0,1.92,0,1.6,0.32,0.64,0.32,0,0.64,0.32,0.64,0,0,0,0.64,0,0,0,0,0.96
22Month,0,2.19,0.55,0,0,2.19,27.88,0,4.37,0,1.64,0,3.83,0,0,1.09,0,1.64,0.55,0.55,0,0.55,0,0,0,0,0
