stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0
72hpf,1.07,0,1.07,0,0,0,0,0,0,0,2.14,2.14,0,80.23,0,1.07,0,0,0,0,0,0,0
21Day,1.34,5.35,0,1.34,0,0,0,0,0,0,0,2.68,0,50.86,4.02,4.02,2.68,1.34,0,1.34,0,0,0
3Month,0.32,0.32,0,0,0.32,0.32,0,0.32,0,0.32,0,0.32,0.32,0,0,0.32,0,0,1.28,0,0.64,0.64,0
22Month,0,1.09,0,0,0,0.55,0.55,8.75,1.64,1.09,0.55,0,0,0.55,0.55,0,0,0,0,0,0,0,0.55
