stage,Epithelial_cell,Hepatocyte,Immune_progenitor_cell,Mesenchymal_cell,Neural_cell,Oocyte,Primordial_germ_cell,Spermatocyte
72hpf,0,0,0,0,1.07,0,0,0
21Day,1.34,0,1.34,0,0,0,0,0
3Month,0,0,0,0,0,0,0.32,1.28
22Month,0,1.64,0,0.55,0,1.09,0,0
