stage,Enterocyte,Epithelial_cell,Goblet_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,4.09,0,0,0,4.09,0,0,0,0,0
72hpf,0,0,0,0,0,0,2.14,8.56,0,0,0,1.07,1.07,2.14,0,1.07,0,0,0
21Day,0,4.02,0,0,0,0,0,6.69,0,0,0,0,0,0,0,0,0,0,1.34
3Month,0.64,7.36,0.64,1.28,0.64,0.96,0.64,4.48,0.64,0,1.6,0.32,0,0,0.32,0.32,0.32,17.92,1.6
22Month,0,4.37,1.09,2.73,0,4.37,0,0,0.55,0,0,0,0.55,0,0.55,0,0,2.19,1.64
