stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,20.43,0,0,0,0,0,36.78,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,3.21,0,0,0,0,2.14,5.35,0,0,1.07,0,21.4,2.14,0,0,0,0
21Day,0,0,0,2.68,2.68,0,1.34,0,0,0,0,0,1.34,0,0,4.02,0,2.68,0,0,1.34,0,0,9.37,0,0,1.34,1.34,62.91,0,0,0,0,0
3Month,0.96,1.28,0.96,11.84,0,0.96,0.32,2.56,5.44,0.32,12.8,4.48,0,6.08,0,4.48,3.2,4.48,2.56,0,2.24,1.6,0.32,0.32,1.6,0,0,3.52,531.12,0.96,0,3.2,21.44,5.44
22Month,0,1.64,1.64,2.73,0,0,0,2.19,3.28,0.55,31.16,1.09,0.55,6.56,0.55,0,2.19,4.37,0.55,0.55,0,0.55,0.55,0.55,1.64,104.41,0,0.55,691.52,0,0.55,0,0,1.64
