stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0,16.35,32.69,24.52,0,0,0,0,8.17,167.54,0,0,0,0,0,0,0,0,4.09,0,0
72hpf,3.21,0,0,7.49,4.28,1.07,0,0,0,0,0,0,0,0,0,3.21,8.56,2.14,6.42,0,2.14,0,1.07,9.63,22.47,0,0,0,2.14,1.07,0,4.28,0,3.21,0,0
21Day,10.71,0,0,37.48,0,0,0,8.03,0,0,0,5.35,0,2.68,0,0,29.45,5.35,33.46,0,0,2.68,0,6.69,34.8,0,0,0,8.03,5.35,0,1.34,1.34,2.68,0,0
3Month,0,0.64,0.64,7.68,0,0,0,0,0.32,0.96,0,10.56,1.6,0,4.16,0.64,4.16,0.64,3.2,0.96,0,0.64,0.64,0.32,0.32,0,0,0,0,0,5.44,0.64,0,0,3.84,0
22Month,0,1.09,1.09,6.01,0,0,1.09,0,0.55,5.47,1.09,131.74,0,1.09,15.31,0.55,4.92,2.73,11.48,0,5.47,0,0,0.55,0,1.64,0.55,1.09,0,0,6.01,0.55,0,0,0,2.19
