stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Immune_progenitor_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_pigment_epithelial_cell,T_cell
72hpf,1.07,1.07,0,5.35,2.14,1.07,0,0,1.07,4.28,5.35,2.14,1.07,0,361.59,19.26,1.07,0,1.07,0,0
21Day,0,0,1.34,9.37,2.68,0,1.34,2.68,0,1.34,0,5.35,0,2.68,129.84,6.69,0,5.35,1.34,1.34,1.34
3Month,0,0,0,0,0,0,0.32,0,0,0,0,0,0,0.96,0,0,0,0,0,0,0
