stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,20.43,0,0,8.17,0,0,0,0,0,32.69,0,0,0,0,4.09,28.6,36.78,32.69,0,0,0,0,16.35,310.57,0,12.26,0,0,0,4.09,0,0,0
72hpf,0,1.07,0,4.28,1.07,0,0,3.21,0,0,0,0,2.14,0,3.21,2.14,0,7.49,0,2.14,0,0,3.21,8.56,0,12.84,0,0,2.14,4.28,0,0,0
21Day,5.35,0,0,6.69,1.34,0,0,1.34,0,0,0,0,1.34,0,0,1.34,2.68,17.4,0,0,1.34,0,4.02,4.02,0,13.39,1.34,0,0,1.34,0,0,0
3Month,0,1.6,0.32,3.2,0,0.32,0,0.32,0,0,2.24,1.6,0.32,0.64,3.2,0.96,2.24,1.92,1.92,0,0.64,1.92,0,0,0.64,0,0.64,64.63,0.64,0.64,0.64,10.56,0.96
22Month,1.09,1.09,0,0,0,0,0.55,0,0.55,0,6.56,0,1.09,0,0.55,0,0,0,0,0.55,0.55,0.55,0,0,0,0,0,3.28,0,0,0.55,0,0
