stage,Cardiomyocyte,Epithelial_cell,Goblet_cell,Keratinocyte,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Radial_glia,Retinal_cell,Retinal_cone_cell
72hpf,2.14,2.14,0,1.07,1.07,104.84,1.07,3.21,1.07,41.72,24.61
21Day,0,0,1.34,0,0,12.05,0,0,0,25.43,32.12
