stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,4.09,0,0,0,0,0,0,0,0,8.17,8.17,40.86,0,4.09,0,0,98.07,0,0,0,0,0,0,0,0,0,0
72hpf,9.63,3.21,0,1.07,2.14,0,0,0,0,0,0,3.21,6.42,200.05,0,1.07,1.07,125.17,46,0,0,239.63,0,0,10.7,0,0,0,0
21Day,10.71,8.03,5.35,2.68,6.69,1.34,9.37,0,2.68,0,0,8.03,10.71,255.66,0,0,64.25,78.97,6.69,0,1.34,18.74,9.37,0,8.03,6.69,6.69,0,6.69
3Month,0,0.64,1.6,0,0,2.88,0.96,1.28,0,1.28,0,0.32,0.64,13.76,0.32,0,3.2,1.28,0.32,0.32,0.32,6.72,0.32,1.92,0.32,0,1.92,1.92,0.96
22Month,0,0,0,0,0,0.55,1.09,0,0,0.55,0.55,0,1.09,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
