stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,20.43,4.09,0,0,0,0,0,36.78,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,3.21,0,1.07,7.49,2.14,0,0,0,2.14,0,0,0,0,0,1.07,9.63,1.07,3.21,0,2.14,0,0,316.66,14.98,1.07,3.21,0,4.28,0,1.07,1.07,0,0,0,0,0
21Day,0,0,0,12.05,4.02,0,0,0,1.34,0,1.34,0,0,0,0,0,0,2.68,0,0,1.34,0,65.59,1.34,0,1.34,0,0,1.34,8.03,2.68,2.68,0,0,1.34,1.34
3Month,0,0.64,8.96,8,0,0.64,0.96,0.96,24.96,0,18.88,0.64,0,1.28,4.8,0.96,1.6,3.2,1.6,0.64,1.28,1.92,5.44,0.64,3.52,0.96,0,0,1.28,86.39,2.24,0,0,0.32,27.52,2.24
22Month,0,0.55,6.56,1.64,0,1.09,0,0,50.84,0,32.8,4.37,1.64,3.28,1.09,0.55,1.09,9.84,1.09,2.73,2.19,0,3.83,0.55,3.83,1.64,0.55,0,0,135.57,4.37,0,1.09,0,0.55,1.64
