stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,4.09,0,0,16.35,0,0,0,0,0,0,0,0
72hpf,1.07,1.07,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,2.14,2.14,0,0,0,0,0,0,0,0
21Day,0,0,0,2.68,1.34,2.68,0,0,0,1.34,0,2.68,0,0,0,1.34,0,1.34,5.35,0,0,1.34,0,0,1.34,0,1.34
3Month,0,0,0,1.28,0,0,2.24,0.64,0,4.48,0.32,0.32,0.64,0.32,0.32,0.32,0.64,0,0,0.32,0.32,0,0,2.56,0,0.32,0
22Month,0,0,1.09,1.09,0,0,2.73,0.55,0,20.23,0,1.64,0.55,0,1.09,2.73,0.55,0.55,0,0,0,0,0.55,0.55,0,0,0
