stage,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,3.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,2.68,1.34,0,0,0,0,0,25.43,0,0,0,40.16,1.34,0,0,0,2.68,1.34,0,1.34,2.68,8.03,0,0,1.34,1.34,0,0,10.71
3Month,3.2,0,0,0.32,2.56,5.12,70.07,1.92,0.64,0.32,0.32,44.15,2.56,0.32,0,0.32,0.64,0,0,0.32,0.32,0.64,0.32,1.28,0,0,0.64,0.32,16.64
22Month,0,0,0.55,0,0.55,3.28,4.92,2.73,0,0,0,26.79,0.55,0.55,0.55,0,0,0,0.55,0,0,1.09,0,1.64,0,0,0,0,3.28
