stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
21Day,1.34,0,0,1.34,1.34,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,0,1.34,0,0,0,0,0,0,0,0,0,0,0
3Month,0,1.92,0.96,8,0,0,0.64,1.6,3.52,0,22.08,5.12,0.64,5.12,0,3.2,3.52,4.8,0.32,0,0.32,1.28,0.32,0.32,1.28,0.32,0,0,0.96,2.56,0,0,0,0.64,3.2
22Month,0,6.01,2.73,20.23,0,1.09,0,2.19,15.31,10.39,375.01,9.29,4.92,32.25,1.09,3.28,10.93,24.6,1.09,10.39,2.73,0,0.55,0,0,1.64,1.09,1.09,0.55,2.19,1.64,0.55,0.55,0,3.83
