stage,Granulosa_cell,Hepatocyte,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast
24hpf,0,0,0,4.09,4.09,0,0
72hpf,0,0,0,0,0,0,1.07
21Day,0,0,0,0,0,1.34,0
22Month,1.09,0.55,0.55,0,0,0,0
