stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,4.09,20.43,4.09,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0
72hpf,2.14,0,1.07,0,0,0,0,0,0,0,0,0,0,0,9.63,4.28,0,0,1.07,0,0,3.21,1.07,0,0,0,2.14,0,0,0,0,0,0,0
21Day,1.34,1.34,20.08,1.34,0,0,0,0,0,0,0,2.68,0,8.03,12.05,9.37,8.03,0,0,1.34,0,1.34,0,0,0,0,1.34,1.34,0,0,0,0,0,0
3Month,2.56,1.28,55.35,0,0,0,8,2.56,0,16,14.4,0,26.24,2.88,10.88,17.28,6.08,0.64,0,7.36,1.6,1.6,0.32,2.88,0.32,0,0,0,1.92,0.32,0,1.92,1.6,3.52
22Month,5.47,5.47,31.71,0,0.55,0.55,4.92,10.93,6.56,145.96,5.47,1.09,34.44,2.19,6.56,25.15,12.03,0,1.09,5.47,0,0.55,1.09,2.19,0.55,0.55,0,1.09,2.19,0,0.55,1.09,0,2.73
