stage,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Primordial_germ_cell,Radial_glia,T_cell
21Day,29.45,0,1.34,0,0,0,1.34,0,2.68,0,4.02,1.34,1.34,0
3Month,20.48,0.32,0,0,1.6,3.2,0,0,0.32,0,0,0.32,0,0.32
22Month,12.57,0,0,0.55,6.01,132.29,0.55,4.37,0.55,0.55,0,4.92,0.55,0
