stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte
24hpf,0,0,0,24.52,0,0,0,0,0,0,0,4.09,0,4.09,4.09,0,0,0,8.17,621.13,0,0,4.09,0,0,0,0,0,0,0
72hpf,4.28,1.07,0,1.07,2.14,0,0,0,0,0,0,3.21,5.35,1.07,13.91,0,4.28,0,130.51,180.79,0,1.07,22.47,1.07,0,18.19,1.07,1.07,0,0
21Day,2.68,0,0,6.69,2.68,2.68,1.34,0,2.68,0,1.34,0,2.68,2.68,6.69,0,2.68,0,74.96,57.56,0,0,5.35,4.02,2.68,10.71,0,0,0,0
3Month,0.32,1.6,1.6,20.8,0,0,4.8,2.24,16.32,0.96,7.04,1.92,1.6,1.6,4.16,0,3.84,2.24,2.56,0.96,4.16,1.92,0.32,0.96,7.68,0.96,0,0,0.32,39.03
22Month,0,1.09,1.09,2.73,0,0,4.37,0,20.77,1.64,6.56,2.19,0.55,0.55,3.28,2.19,1.09,0,1.09,0.55,2.19,0,0,0,7.11,0.55,0,0,0,0.55
