stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythroid_progenitor_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell
24hpf,0,0,8.17,0,0,0,4.09,12.26,4.09,81.73,0,0,0,4.09
72hpf,2.14,0,1.07,2.14,0,3.21,2.14,5.35,4.28,7.49,1.07,2.14,0,0
21Day,1.34,1.34,12.05,0,1.34,0,5.35,6.69,1.34,2.68,0,0,1.34,0
